,Date,Name,Description,Topic 1,Topic 2,Topic 3,URL,Upvotes,Pricing,Reviews,Product Rating,Comments,Day Rank,Week Rank
0,2024-02-01,Flipner AI,Capture your ideas & craft texts with AI's touch,Writing,Notes,Artificial Intelligence,,0,Free Options,9,4.9/5 ★,683,#1,#2
0,2024-02-01,Promptly AI,No-code platform for generative AI apps and workflows,SaaS,Artificial Intelligence,No-Code,,507,Free Options,9,5/5 ★,155,#2,#13
0,2024-02-01,YASHICA Vision,Capture night in 4K,Crowdfunding,Photography,Tech,,375,Payment Required,3,5/5 ★,154,#3,#18
0,2024-02-01,Fotor AI,"The ultimate all-in-one AI photo editor, for free",Design Tools,Artificial Intelligence,Photo editing,,567,Free Options,13,4.5/5 ★,108,#4,#15
0,2024-02-01,Favikon Chrome extension,Get more context on creators while browsing social media,Social Media,Influencer marketing,Social media marketing,,442,Free,13,4.8/5 ★,206,#5,#16
0,2024-02-01,BeforeSunset AI,Multiple calendars support and the iOS app,Productivity,Calendar,Artificial Intelligence,,568,Free,127,4.8/5 ★,167,#6,#24
0,2024-02-01,BoilerBay,Launch your dream project 10x faster,Developer Tools,Artificial Intelligence,Development,,346,Payment Required,4,2/5 ★,141,#7,#34
0,2024-02-01,VEED GPT 2.0,The best way to create pro-level videos using only text,Productivity,Artificial Intelligence,Video,,264,Free,125,4.8/5 ★,56,#8,#44
0,2024-02-01,Bounce Doctor,Make sure your emails hit the primary inbox,Email,Email Marketing,Marketing,,229,Free,65,4.9/5 ★,56,#9,#50
0,2024-02-01,Crypto Invoice Generator by Acctual,"A safe, beautiful and easy to use crypto invoice generator",Fintech,Crypto,Web3,,189,Free,0,,43,#10,#61
0,2024-02-01,Blackbell,"Create booking websites & marketplaces, without code",SaaS,Website Builder,No-Code,,96,Free Options,1,5/5 ★,29,#11,#78
0,2024-02-01,Commit Everyday,"Your GitHub activity, visualized in cards",Marketing,GitHub,Web Design,,91,Free,0,,25,#12,#90
0,2024-02-01,Figarc,Design your dream home in Figma,Design,Design resources,Interior design,,99,Free Options,2,5/5 ★,31,#13,#98
